pubName, estYear, Street, Street_num, Postal_code
Penguin Books Ltd,1935, Strand,80, WC2R0RL
Pan Macmillan,1944, New Wharf Rd,20, N19RR
Orion Publishing Co,1991, Victoria Embankment,50, EC4Y0LS
Wordsworth Editions Ltd,1987, East St,8, SG129HJ
Arcturus Publishing Ltd,1991, Bermondsey Street,153, SE13HA
HarperCollins Publishers,1920, Broadway,195,10007
Octopus Publishing Group,1998, Victoria Embankment,50, EC4Y0DZ
Vintage Publishing,1954, Strand,80, WC2R0RL
Faber & Faber,1929, Great Russel St,75, WC1B3DA
Fountas,1995, Athinas,12,11177
Simmetria,1989, Zografou,34,17342
